old_filename,category,collection,sub_category,sku,title,product_slug
dsc-0140-copy.jpg,menswear,sherwani,royal-edit,SM-SH-001,Ivory Threadwork Sherwani,ivory-threadwork
dsc-0144-copy.jpg,menswear,sherwani,royal-edit,SM-SH-002,Gold Brocade Sherwani,gold-brocade
dsc-0506-copy.jpg,menswear,sherwani,festive,SM-SH-003,Crimson Embroidered Sherwani,crimson-embroidered
dsc-0509-copy.jpg,menswear,sherwani,festive,SM-SH-004,Pearl Ivory Sherwani,pearl-ivory
dsc-0517-copy.jpg,menswear,sherwani,royal-edit,SM-SH-005,Charcoal Ceremonial Sherwani,charcoal-ceremonial
dsc-0540-copy.jpg,menswear,sherwani,classic,,,
dsc-0546-copy.jpg,menswear,sherwani,classic,,,
dsc-0558-copy.jpg,menswear,sherwani,classic,,,
untitled-session16709-copy.jpg,menswear,sherwani,classic,,,
untitled-session16714-copy.jpg,menswear,sherwani,classic,,,
untitled-session16768-copy.jpg,menswear,sherwani,classic,,,
